CustomerID,Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,CashbackPerOrder,RecentEngagementFlag,AvgOrdersPerPaymentMode,AvgOrdersPerMaritalStatus,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,PreferredPaymentMode_CC,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
50001,1,4.0,3,6.0,3.0,3,2,9,1,11.0,1.0,1.0,5.0,160,160.0,1,2.9407951598962834,2.7371937639198216,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True
50002,1,9.0,1,8.0,3.0,4,3,7,1,15.0,0.0,1.0,0.0,121,121.0,1,2.57487922705314,2.7371937639198216,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
50003,1,9.0,1,30.0,2.0,4,3,6,1,14.0,0.0,1.0,3.0,120,120.0,1,2.9407951598962834,2.7371937639198216,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
50004,1,0.0,3,15.0,2.0,4,5,8,0,23.0,0.0,1.0,3.0,134,134.0,1,2.9407951598962834,2.7371937639198216,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True
50005,1,0.0,1,12.0,2.9315348837209303,3,5,3,0,11.0,1.0,1.0,3.0,130,130.0,1,1.6153846153846154,2.7371937639198216,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
50006,1,0.0,1,22.0,3.0,5,5,2,1,22.0,4.0,6.0,7.0,139,23.166666666666668,1,2.9407951598962834,2.7371937639198216,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
50007,1,9.0,3,11.0,2.0,3,2,4,0,14.0,0.0,1.0,0.0,121,121.0,1,3.865771812080537,3.1037735849056602,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
50008,1,9.0,1,6.0,3.0,3,2,3,1,16.0,2.0,2.0,0.0,123,61.5,1,1.6153846153846154,3.1037735849056602,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
50009,1,13.0,3,9.0,2.9315348837209303,4,3,2,1,14.0,0.0,1.0,2.0,127,127.0,1,3.011400651465798,3.1037735849056602,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
50010,1,9.0,1,31.0,2.0,5,3,2,0,12.0,1.0,1.0,1.0,123,123.0,1,2.9407951598962834,2.7371937639198216,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
50011,1,4.0,1,18.0,2.0,3,3,2,0,15.0,9.0,15.0,8.0,295,19.666666666666668,0,3.865771812080537,3.1037735849056602,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
50012,1,11.0,1,6.0,3.0,4,3,10,1,13.0,0.0,1.0,0.0,154,154.0,1,2.9407951598962834,2.7371937639198216,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True
50013,1,0.0,1,11.0,2.0,3,3,2,1,13.0,2.0,2.0,2.0,134,67.0,1,2.6575342465753424,2.7371937639198216,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
50014,1,0.0,1,15.0,3.0,4,3,1,1,17.0,0.0,1.0,0.0,134,134.0,1,1.6153846153846154,3.1037735849056602,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
50015,1,9.0,3,15.0,3.0,4,2,2,0,16.0,0.0,4.0,7.0,196,49.0,1,3.3097934710193204,2.7371937639198216,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True
50016,1,9.0,2,12.0,3.0,3,5,5,1,22.0,1.0,1.0,2.0,121,121.0,1,2.57487922705314,3.0565974547890153,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
50017,1,0.0,1,12.0,2.9315348837209303,4,2,2,1,18.0,1.0,1.0,0.0,129,129.0,1,2.9407951598962834,2.7371937639198216,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True
50018,1,0.0,3,11.0,2.0,4,3,2,1,11.0,1.0,1.0,3.0,157,157.0,1,3.011400651465798,2.7371937639198216,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
50019,1,0.0,1,13.0,3.0,5,3,2,1,24.0,1.0,1.0,6.0,161,161.0,1,2.9407951598962834,2.7371937639198216,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True
50020,1,19.0,1,20.0,3.0,3,4,10,1,18.0,1.0,4.0,3.0,150,37.5,1,2.9407951598962834,3.1037735849056602,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False
50021,1,0.0,3,12.0,3.0,5,3,5,1,18.0,6.0,7.0,7.0,162,23.142857142857142,1,2.9407951598962834,3.1037735849056602,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False
50022,1,20.0,1,29.0,3.0,3,2,2,0,12.0,11.0,15.0,6.0,203,13.533333333333333,1,3.3097934710193204,3.1037735849056602,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False
50023,1,9.0,3,28.0,2.0,3,3,2,1,19.0,0.0,1.0,0.0,117,117.0,1,3.011400651465798,2.7371937639198216,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True
